year,date,median,low,high
2018,2020-12-31,21,0,80
2019,2020-01-01,16,0,104
2019,2020-01-02,37,0,136
2019,2020-01-03,34,0,129
2019,2020-01-04,40,0,156
2019,2020-01-05,28,0,162
2019,2020-01-06,26,0,143
2019,2020-01-07,28,0,121
2019,2020-01-08,36,0,144
2019,2020-01-09,41,0,155
2019,2020-01-10,39,0,143
2019,2020-01-11,23,0,87
2019,2020-01-12,18,0,94
2019,2020-01-13,12,0,73
2019,2020-01-14,18,0,63
2019,2020-01-15,18,0,66
2019,2020-01-16,21,0,68
2019,2020-01-17,20,0,71
2019,2020-01-18,22,0,76
2019,2020-01-19,17,0,83
2019,2020-01-20,11,0,57
2019,2020-01-21,11,0,70
2019,2020-01-22,18,0,64
2019,2020-01-23,19,0,63
2019,2020-01-24,19,0,60
2019,2020-01-25,23,0,78
2019,2020-01-26,18,0,89
2019,2020-01-27,14,0,76
2019,2020-01-28,19,0,58
2019,2020-01-29,18,0,62
2019,2020-01-30,16,0,57
2019,2020-01-31,19,0,61
2019,2020-02-01,21,0,70
2019,2020-02-02,16,0,86
2019,2020-02-03,11,0,58
2019,2020-02-04,18,0,60
2019,2020-02-05,21,0,68
2019,2020-02-06,18,0,63
2019,2020-02-07,18,0,63
2019,2020-02-08,19,0,71
2019,2020-02-09,16,0,85
2019,2020-02-10,12,0,70
2019,2020-02-11,19,0,64
2019,2020-02-12,17,0,60
2019,2020-02-13,20,0,78
2019,2020-02-14,23,0,77
2019,2020-02-15,21,0,76
2019,2020-02-16,17,0,89
2019,2020-02-17,13,0,71
2019,2020-02-18,18,0,79
2019,2020-02-19,21,0,69
2019,2020-02-20,17,0,56
2019,2020-02-21,21,0,72
2019,2020-02-22,21,0,82
2019,2020-02-23,16,0,88
2019,2020-02-24,11,0,59
2019,2020-02-25,17,0,61
2019,2020-02-26,21,0,64
2019,2020-02-27,20,0,67
2019,2020-02-28,20,0,67
2019,2020-03-01,22,0,76
2019,2020-03-02,16,0,85
2019,2020-03-03,14,0,71
2019,2020-03-04,17,0,62
2019,2020-03-05,19,0,64
2019,2020-03-06,19,0,66
2019,2020-03-07,18,0,72
2019,2020-03-08,23,0,76
2019,2020-03-09,18,0,90
2019,2020-03-10,12,0,61
2019,2020-03-11,21,0,67
2019,2020-03-12,17,0,61
2019,2020-03-13,21,0,66
2019,2020-03-14,19,0,68
2019,2020-03-15,23,0,79
2019,2020-03-16,18,0,98
2019,2020-03-17,12,0,72
2019,2020-03-18,18,0,66
2019,2020-03-19,20,0,67
2019,2020-03-20,22,0,69
2019,2020-03-21,18,0,62
2019,2020-03-22,21,0,80
2019,2020-03-23,19,0,105
2019,2020-03-24,13,0,76
2019,2020-03-25,19,0,67
2019,2020-03-26,20,0,67
2019,2020-03-27,21,0,64
2019,2020-03-28,21,0,72
2019,2020-03-29,22,0,78
2019,2020-03-30,17,0,93
2019,2020-03-31,14,0,73
2019,2020-04-01,22,0,74
2019,2020-04-02,20,0,73
2019,2020-04-03,24,0,80
2019,2020-04-04,24,0,75
2019,2020-04-05,20,0,77
2019,2020-04-06,22,0,107
2019,2020-04-07,13,0,79
2019,2020-04-08,21,0,76
2019,2020-04-09,20,0,71
2019,2020-04-10,21,0,75
2019,2020-04-11,22,0,72
2019,2020-04-12,22,0,82
2019,2020-04-13,20,0,107
2019,2020-04-14,16,0,83
2019,2020-04-15,24,0,80
